iso2	area_sqkm
AD	452.24793683157947
AE	71084.63633494375
AF	642181.6163942092
AG	451.48018877323005
AI	80.67384596823143
AL	28335.84516398934
AM	29588.31031852631
AO	1244654.313546171
AQ	12358174.388790991
AR	2784305.9189470923
AS	180.3056963678391
AT	83993.196879589
AU	7691175.090399871
AW	169.76642238220072
AZ	86249.80023303672
BA	51826.537863392885
BB	444.2213241323988
BD	136903.67805500666
BE	30669.830511667642
BF	272769.396656721
BG	112760.6938197593
BH	584.9397795935516
BI	27041.26629610865
BJ	116113.30895446315
BL	24.423261174697878
BM	62.302165719231844
BN	5716.69325911628
BO	1086810.6457342159
BR	8472669.678377096
BS	12592.697860504082
BT	40365.36421684413
BW	579029.2005460369
BY	207499.13339444195
BZ	22299.42219573088
CA	9945527.764985083
CD	2325240.4236477143
CF	617984.2399580368
CG	344888.6767348834
CH	41435.79877039148
CI	320677.15691769694
CK	191.1318923077924
CL	736592.7499003441
CM	464319.27834895253
CN	9374591.216965673
CO	1135117.8781117965
CR	51144.33533147565
CU	109929.18207741623
CV	3883.1427075028528
CW	463.2502195446062
CY	5395.020997606832
CZ	78758.85950496417
DE	357673.8176546789
DJ	21847.61409875067
DK	42696.43397568578
DM	730.3125711240883
DO	48439.790109810456
DZ	2308857.817784158
EC	255014.21488574092
EE	45819.03919607016
EG	1001078.5472864377
ER	122537.73880057433
ES	506884.11511566624
ET	1127375.979708977
FI	333059.05525200185
FJ	18930.08333615292
FK	11597.223908080165
FM	633.8453645261274
FO	1328.521588833648
FR	636758.5293095022
GA	259968.48468844334
GB	243783.211052871
GD	347.26326182813665
GE	69570.72579287778
GG	73.98167691376233
GH	238668.6769644392
GI	3.6923712199048997
GL	2154380.7913027797
GM	10500.897039039673
GN	244301.98009354426
GQ	26671.690857533435
GR	131353.43567330888
GS	3921.4841282731895
GT	108811.24580904085
GU	564.2033872157984
GW	32829.628073843596
GY	211213.69761780626
HK	1036.2047445663206
HM	394.8631323674507
HN	112236.7314052547
HR	55077.44290253139
HT	26891.569007692582
HU	93200.95199920457
ID	1879827.3748788622
IE	69445.01466838783
IL	21900.93235056281
IM	574.8173931731901
IN	3151452.491961143
IO	49.06066588711554
IQ	437366.9830915558
IR	1622510.1866869396
IS	102390.07076428035
IT	301185.0685934983
JE	119.05032234631538
JM	11032.896473883871
JO	88863.04758601561
JP	373508.03418055526
KE	585702.5843625352
KG	198990.45591103574
KH	181059.6108326335
KI	949.8634513214655
KM	1672.2269205270734
KN	264.1305694796238
KP	122379.4003676106
KR	98544.42882167482
KW	17474.020396605734
KY	309.19646687841606
KZ	2714263.3685441692
LA	228113.97485040524
LB	10000.011414743245
LC	605.1306728761933
LI	137.24980376003361
LK	66291.18329842921
LR	95298.1539476318
LS	30106.518072275434
LT	64939.29751757669
LU	2608.4689301204567
LV	64576.403598551624
LY	1623760.9003579712
MA	591745.2469115739
MC	18.83968030350399
MD	33206.47762337327
ME	13727.499653550689
MF	68.27952917497707
MG	592983.8842587469
MH	164.8223820920804
MK	25385.269367754358
ML	1252723.65729053
MM	663159.3007064887
MN	1564648.9906362689
MO	30.076684162869036
MP	579.3044095829808
MR	1036391.8235232013
MS	99.5971440362947
MT	325.6880511236057
MU	2014.4396132592276
MV	108.74231101540427
MW	119397.76652705297
MX	1957847.0583796725
MY	327884.8886786309
MZ	788448.5360396466
NA	822713.0501869222
NC	18841.034983433838
NE	1181300.8923377672
NF	41.146497360852244
NG	907501.0844204949
NI	128691.43282995676
NL	37397.73062549219
NO	382066.5602031595
NP	147105.48971549707
NR	28.76692206009218
NU	220.5712371115818
NZ	268494.5791221025
OM	311213.4541656622
PA	74530.3083392666
PE	1289866.4010943884
PF	3336.547746896668
PG	29367.930916375302
PH	293237.4880448443
PK	872939.2882954803
PL	313430.77287693263
PM	242.74984975668715
PN	42.569755890356156
PR	9005.976495638546
PT	2767.061590503932
PW	491.9321840072223
PY	399901.05470343813
QA	11150.106992136532
RO	236376.6560898297
RS	77573.60378468432
RU	16980199.62053948
RW	25305.054919012287
SA	1921725.381316085
SB	27198.794740282905
SC	435.6674565265611
SD	1857637.0669359493
SE	446178.44094333774
SG	510.5031737010714
SH	366.6607260858252
SI	20327.278948233627
SK	48457.788850943936
SL	71611.71499421634
SM	60.31713094507217
SN	196224.29707317977
SO	471815.00342042226
SR	145123.53017072426
ST	1037.1561366140731
SV	20539.229033657255
SX	23.358516925027608
SY	185939.04840221372
SZ	17111.84503911677
TC	445.2174997052877
TD	1266282.335587437
TF	7279.985796449041
TG	56863.47734125389
TH	514453.67794878985
TJ	142238.25603156321
TL	15082.235169431544
TM	470850.3991076106
TN	156611.6936003666
TO	603.113108349627
TR	780079.652511871
TT	5122.926215130053
TV	23.018500347682377
TW	36197.77371986479
TZ	941505.9871227486
UA	571998.5759768161
UG	241853.6301856624
UM	28.004552774807518
US	9464330.067774186
UY	177345.12616579118
UZ	447830.15943964483
VA	0.012203829894423484
VC	367.72526305705827
VE	912684.3995537218
VG	144.94117607257522
VI	354.748452079206
VN	328892.1170819263
VU	12296.604102737805
WF	139.32915982165002
WS	2780.412472401772
YE	453075.75716205843
ZA	1219826.7283745739
ZM	751914.9431398275
ZW	389337.4811096561
